City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Thompson,CA,2020-07-11 03:06:51,55.74,-97.86,66.2,59,40,5.82
121,Ustka,PL,2020-07-11 03:06:51,54.58,16.86,55.49,80,21,17.34
122,Petkovci,BA,2020-07-11 03:06:51,44.45,19.08,60.8,87,25,1.12
123,San Quintin,MX,2020-07-11 03:06:52,30.48,-115.95,70.97,70,64,8.86
124,Port Alfred,ZA,2020-07-11 03:02:14,-33.59,26.89,60.01,57,35,8.01
125,Talnakh,RU,2020-07-11 03:06:52,69.49,88.4,62.6,63,5,20.13
126,Alihe,CN,2020-07-11 03:05:07,50.57,123.72,90.54,26,0,4.07
127,Tabas,IR,2020-07-11 03:06:52,33.6,56.92,91.4,16,0,2.24
128,Port Elizabeth,ZA,2020-07-11 03:06:53,-33.92,25.57,60.8,44,98,10.29
129,Erzin,TR,2020-07-11 03:06:53,36.96,36.2,78.01,90,95,2.19
130,Sassandra,CI,2020-07-11 03:06:53,4.95,-6.08,74.75,85,100,8.72
131,Havelock,US,2020-07-11 03:06:53,34.88,-76.9,82.99,78,1,6.93
132,Abong Mbang,CM,2020-07-11 03:06:53,3.98,13.18,67.68,95,98,4.76
133,La Rioja,ES,2020-07-11 03:06:54,42.25,-2.5,64.4,68,90,6.93
134,Port Hedland,AU,2020-07-11 03:06:54,-20.32,118.57,77.0,20,0,24.16
135,Vardo,NO,2020-07-11 03:06:54,70.37,31.11,49.42,85,60,4.14
136,Tuktoyaktuk,CA,2020-07-11 03:06:54,69.45,-133.04,42.8,87,75,12.75
137,Sulina,RO,2020-07-11 03:06:54,45.16,29.65,70.03,63,0,5.14
138,Bengkulu,ID,2020-07-11 03:06:55,-3.8,102.27,85.01,62,1,1.99
139,Aksarka,RU,2020-07-11 03:06:55,66.56,67.8,65.46,49,18,4.56
140,Las Choapas,MX,2020-07-11 03:06:55,17.93,-94.08,78.31,91,100,5.88
141,East London,ZA,2020-07-11 03:06:55,-33.02,27.91,60.76,52,3,22.01
142,Lebu,CL,2020-07-11 03:06:55,-37.62,-73.65,47.93,74,69,6.87
143,Iqaluit,CA,2020-07-11 03:06:55,63.75,-68.51,41.0,86,75,10.29
144,Quatre Cocos,MU,2020-07-11 03:06:56,-20.21,57.76,69.01,68,40,17.22
145,Ninove,BE,2020-07-11 03:06:56,50.83,4.0,48.0,95,0,4.45
146,Severo-Kurilsk,RU,2020-07-11 03:06:56,50.68,156.12,50.97,91,100,2.89
147,Vestmannaeyjar,IS,2020-07-11 03:06:56,63.44,-20.27,50.94,94,100,5.35
148,Mar Del Plata,AR,2020-07-11 03:05:14,-38.0,-57.56,43.0,75,0,11.41
149,Saint-Pierre,RE,2020-07-11 03:06:57,-21.34,55.48,62.6,77,12,2.24
150,Naze,JP,2020-07-11 03:06:57,28.37,129.48,84.2,94,75,11.41
151,Havoysund,NO,2020-07-11 03:06:57,71.0,24.66,46.4,93,40,14.99
152,Carnarvon,AU,2020-07-11 03:02:13,-24.87,113.63,69.8,28,0,17.22
153,Honiara,SB,2020-07-11 03:06:57,-9.43,159.95,87.8,74,75,14.99
154,Aschersleben,DE,2020-07-11 03:06:57,51.75,11.47,52.0,87,0,1.99
155,Acajutla,SV,2020-07-11 03:06:57,13.59,-89.83,71.01,100,98,3.4
156,Cidreira,BR,2020-07-11 03:04:20,-30.18,-50.21,57.16,78,0,5.86
157,Saskylakh,RU,2020-07-11 03:06:58,71.92,114.08,70.05,46,100,22.41
158,Terre-De-Bas,GP,2020-07-11 03:06:58,15.85,-61.64,78.8,78,100,3.36
159,Port Blair,IN,2020-07-11 03:06:58,11.67,92.75,84.43,75,100,8.77
160,Huicungo,PE,2020-07-11 03:06:58,-7.28,-76.8,68.43,90,2,1.83
161,Hovd,MN,2020-07-11 03:06:58,48.01,91.64,73.09,34,14,2.8
162,Lagoa,PT,2020-07-11 03:06:59,39.05,-27.98,68.31,79,1,11.01
163,Grindavik,IS,2020-07-11 03:06:59,63.84,-22.43,48.2,100,90,9.17
164,Teahupoo,PF,2020-07-11 03:06:59,-17.83,-149.27,82.4,58,75,6.93
165,Kaitangata,NZ,2020-07-11 03:06:59,-46.28,169.85,55.99,51,18,3.0
166,Frolovo,RU,2020-07-11 03:06:59,49.77,43.66,66.99,62,0,5.99
167,Umuahia,NG,2020-07-11 03:07:00,5.53,7.49,69.93,96,100,4.36
168,Golyshmanovo,RU,2020-07-11 03:07:00,56.4,68.37,73.0,69,61,5.48
169,Sabang,ID,2020-07-11 03:07:00,5.89,95.32,82.51,73,100,3.65
170,Uglegorsk,RU,2020-07-11 03:07:00,49.08,142.03,59.0,83,89,4.92
171,Ilulissat,GL,2020-07-11 03:07:00,69.22,-51.1,42.8,81,99,8.05
172,Bahia Blanca,AR,2020-07-11 03:07:00,-38.72,-62.27,40.96,65,0,10.71
173,Fort Nelson,CA,2020-07-11 03:05:12,58.81,-122.7,71.6,56,75,5.03
174,Pangnirtung,CA,2020-07-11 03:07:01,66.15,-65.71,48.13,55,62,0.74
175,Kalmunai,LK,2020-07-11 03:07:01,7.42,81.82,82.56,72,82,1.92
176,Mizdah,LY,2020-07-11 03:07:01,31.45,12.98,67.51,71,0,4.7
177,Vao,NC,2020-07-11 03:07:02,-22.67,167.48,68.13,76,43,21.45
178,Linkoping,SE,2020-07-11 03:07:02,58.41,15.62,51.8,100,100,5.82
179,Sioux Lookout,CA,2020-07-11 03:07:02,50.1,-91.92,68.0,68,40,8.05
180,Ponta Do Sol,PT,2020-07-11 03:07:02,32.67,-17.1,69.01,79,0,3.8
181,Chokurdakh,RU,2020-07-11 03:07:02,70.63,147.92,66.33,42,12,9.26
182,Saint George,US,2020-07-11 03:02:46,37.1,-113.58,102.2,12,1,11.41
183,Calvinia,ZA,2020-07-11 03:07:03,-31.47,19.78,39.52,90,94,25.19
184,Pacific Grove,US,2020-07-11 03:02:10,36.62,-121.92,62.6,72,1,8.05
185,Atambua,ID,2020-07-11 03:07:03,-9.11,124.89,83.1,58,29,3.22
186,Anadyr,RU,2020-07-11 03:07:03,64.75,177.48,66.2,72,20,4.47
187,Puerto Escondido,MX,2020-07-11 03:07:04,15.85,-97.07,81.18,83,100,4.59
188,Bredy,RU,2020-07-11 03:07:04,52.42,60.34,79.5,58,0,2.44
189,Kabanjahe,ID,2020-07-11 03:07:04,3.1,98.49,84.0,83,40,9.17
190,Kayes,ML,2020-07-11 03:07:04,14.0,-11.0,78.87,83,100,11.43
191,Kruisfontein,ZA,2020-07-11 03:07:04,-34.0,24.73,49.66,64,49,11.3
192,Moctezuma,MX,2020-07-11 03:07:05,29.8,-109.67,90.14,46,58,16.93
193,Ixtapa,MX,2020-07-11 03:07:05,20.7,-105.2,86.0,79,90,5.82
194,Juneau,US,2020-07-11 03:07:05,58.3,-134.42,57.2,76,90,11.41
195,Perth,AU,2020-07-11 03:02:27,-31.93,115.83,57.99,54,0,14.99
196,Poya,NC,2020-07-11 03:07:06,-21.35,165.15,73.35,53,41,7.25
197,Northam,GB,2020-07-11 03:07:06,51.03,-4.22,48.99,96,0,3.0
198,Torbay,CA,2020-07-11 03:07:06,47.67,-52.73,52.0,93,90,8.05
199,Micheweni,TZ,2020-07-11 03:07:06,-4.97,39.83,75.51,82,28,9.44
200,Bambous Virieux,MU,2020-07-11 03:07:07,-20.34,57.76,69.01,68,40,17.22
201,Constitucion,CL,2020-07-11 03:07:07,-35.33,-72.42,49.06,80,77,5.84
202,Teya,RU,2020-07-11 03:07:07,60.38,92.63,58.78,84,93,4.79
203,Khuzhir,RU,2020-07-11 03:07:07,53.19,107.34,55.8,91,88,6.44
204,Grants Pass,US,2020-07-11 03:04:05,42.44,-123.33,84.2,32,1,12.75
205,Shenxian,CN,2020-07-11 03:07:08,36.24,115.67,86.81,52,100,8.16
206,Sinnamary,GF,2020-07-11 03:07:08,5.38,-52.95,78.66,84,85,8.28
207,Mitu,CO,2020-07-11 03:07:08,1.2,-70.17,71.33,97,83,1.05
208,Ola,RU,2020-07-11 03:07:08,59.58,151.28,57.06,81,86,7.54
209,Thai Binh,VN,2020-07-11 03:05:32,20.45,106.33,89.6,75,100,5.82
210,Egvekinot,RU,2020-07-11 03:07:08,66.32,-179.17,58.5,74,98,3.53
211,Sainte-Maxime,FR,2020-07-11 03:07:09,43.3,6.63,69.8,77,43,2.98
212,Georgetown,MY,2020-07-11 03:06:05,5.41,100.34,82.4,83,20,5.82
213,Sur,OM,2020-07-11 03:02:19,22.57,59.53,90.0,54,70,4.41
214,Moree,AU,2020-07-11 03:07:09,-29.47,149.85,60.8,82,90,9.17
215,Hambantota,LK,2020-07-11 03:07:09,6.12,81.12,80.6,94,75,6.93
216,Windhoek,NA,2020-07-11 03:07:09,-22.56,17.08,41.0,80,69,6.93
217,Kavaratti,IN,2020-07-11 03:07:10,10.57,72.64,83.19,75,100,10.76
218,Mount Gambier,AU,2020-07-11 03:07:10,-37.83,140.77,50.0,100,75,4.7
219,Taldan,RU,2020-07-11 03:07:10,53.67,124.8,88.66,39,9,5.44
220,Sao Joao Da Barra,BR,2020-07-11 03:07:10,-21.64,-41.05,68.68,73,33,6.67
221,Ishim,RU,2020-07-11 03:07:10,56.11,69.49,70.52,58,40,3.18
222,Isangel,VU,2020-07-11 03:07:11,-19.55,169.27,80.6,65,75,12.75
223,Touros,BR,2020-07-11 03:07:11,-5.2,-35.46,73.4,94,20,4.7
224,San Cristobal,VE,2020-07-11 03:07:11,7.77,-72.22,64.69,90,46,2.77
225,Atasu,KZ,2020-07-11 03:07:11,48.68,71.64,70.23,55,0,15.37
