City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
408,Komsomolskiy,UZ,40.43,71.72,89.6,22,0,6.93,clear sky,0.0,0
409,Kirakira,SB,-10.45,161.92,78.89,84,94,12.39,overcast clouds,0.0,0
410,Yerbogachen,RU,61.28,108.01,73.2,46,24,5.32,few clouds,0.0,0
411,Athens,GR,37.98,23.72,91.4,29,0,8.05,clear sky,0.0,0
412,Alekseyevsk,RU,57.84,108.35,77.56,50,97,2.15,overcast clouds,0.0,0
413,Vilyuysk,RU,63.76,121.62,84.85,41,0,8.48,clear sky,0.0,0
414,Bolivar,US,37.61,-93.41,75.0,87,48,7.02,scattered clouds,0.0,0
415,Honiara,SB,-9.43,159.95,80.6,83,75,10.29,broken clouds,0.0,0
416,Bajil,YE,15.06,43.29,100.26,34,55,8.32,broken clouds,0.0,0
417,Whittlesea,ZA,-32.18,26.82,47.17,48,67,7.36,broken clouds,0.0,0
418,Felanitx,ES,39.47,3.15,84.2,48,0,5.82,clear sky,0.0,0
419,Catuday,PH,16.29,119.81,85.06,72,92,8.39,overcast clouds,0.0,0
420,Atar,MR,20.52,-13.05,89.29,39,3,4.52,clear sky,0.0,0
421,Westport,US,41.14,-73.36,72.0,97,0,9.53,clear sky,0.0,0
422,Devonport,AU,-41.17,146.35,51.01,64,18,1.99,few clouds,0.0,0
423,Lavrentiya,RU,65.58,-171.0,48.36,72,13,2.19,few clouds,0.0,0
424,Isangel,VU,-19.55,169.27,72.82,84,10,13.13,light rain,0.16,0
425,Dharchula,IN,29.85,80.53,79.12,63,41,4.92,moderate rain,1.83,0
426,Andenes,NO,69.31,16.12,51.8,87,75,5.82,light intensity drizzle,0.0,0
427,Filadelfia,US,39.95,-75.16,73.99,69,1,9.17,clear sky,0.0,0
428,Ankara,TR,39.92,32.85,82.4,39,20,3.36,few clouds,0.0,0
429,Shaunavon,CA,49.65,-108.42,61.75,54,49,14.0,scattered clouds,0.0,0
430,Touros,BR,-5.2,-35.46,71.6,100,75,4.7,shower rain,0.0,0
431,Nandgaon,IN,20.32,74.65,91.09,49,99,15.23,overcast clouds,0.0,0
432,San Andres,CO,12.58,-81.7,77.0,94,90,11.41,thunderstorm with light rain,0.0,0
433,Rovnoye,RU,50.78,46.05,81.7,59,0,11.61,clear sky,0.0,0
434,Yarada,IN,17.65,83.27,93.2,63,75,11.41,broken clouds,0.0,0
435,Pitimbu,BR,-7.47,-34.81,75.27,81,16,15.64,light rain,0.54,0
436,Zhenlai,CN,45.85,123.3,86.95,39,66,4.65,broken clouds,0.0,0
437,Sabha,LY,27.04,14.43,96.44,14,0,7.76,clear sky,0.0,0
438,Karratha,AU,-20.74,116.85,75.45,25,40,11.12,scattered clouds,0.0,0
439,Taveta,KE,-3.4,37.67,69.8,77,75,7.11,broken clouds,0.0,0
440,Teya,RU,60.38,92.63,66.47,72,93,1.97,light rain,0.13,0
441,Inhambane,MZ,-23.86,35.38,69.8,64,20,13.87,few clouds,0.0,0
442,Dzilam Gonzalez,MX,21.28,-88.93,77.0,89,0,2.91,clear sky,0.0,0
443,Lompoc,US,34.64,-120.46,55.0,93,0,7.02,clear sky,0.0,0
444,Ahome,MX,25.92,-109.18,84.0,76,18,1.99,few clouds,0.0,0
445,Sfantu Gheorghe,RO,45.87,25.78,75.61,56,72,4.21,broken clouds,0.0,0
446,Fort Nelson,CA,58.81,-122.7,50.13,91,99,0.94,overcast clouds,0.0,0
